name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Екатерина Шакалова,N/A,1997.08.31,8-2-0 (Win-Loss-Draw),$0 USD,"5'2"" (158cm)","62.6"" (159cm)",144.2 lbs,Featherweight,"May 17, 2024"
Emily Marisa Ducote,Gordinha,1994.01.01,13-9-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","63.0"" (160cm)",115.5 lbs,Strawweight,"May 18, 2024"
Fabacary Diatta,N/A,1996.10.16,9-1-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","70.5"" (179cm)",145.4 lbs,Featherweight,"May 12, 2023"
Dumitru Girlean,N/A,1994.11.07,8-2-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)",N/A,154.3 lbs,Lightweight,"April 20, 2024"
Ana Talita de Oliveira Alencar,Problem Child,1990.10.17,5-0-1 (Win-Loss-Draw),$0 USD,"5'1"" (155cm)","58.5"" (149cm)",116.0 lbs,Strawweight,"December 09, 2023"
Michael Joseph Perry,Platinum,1991.09.15,14-8-0 (Win-Loss-Draw),"$744,000 USD","5'10"" (178cm)","71.0"" (180cm)",170.0 lbs,Welterweight,"April 10, 2021"
Diana Irena Belbiţă,The Warrior Princess,1996.06.26,15-9-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","68.0"" (173cm)",116.0 lbs,Strawweight,"February 03, 2024"
Jamal Pogues,The Stormtrooper,1995.12.01,11-4-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","77.0"" (196cm)",265.5 lbs,Heavyweight,"February 03, 2024"
Dan Argueta,The Determined,1993.08.13,"9-2-0, 2 NC (Win-Loss-Draw)",$0 USD,"5'7"" (170cm)","68.0"" (173cm)",136.0 lbs,Bantamweight,"April 06, 2024"
Elise Reed,N/A,1992.12.05,7-4-0 (Win-Loss-Draw),$0 USD,"5'3"" (160cm)","63.0"" (160cm)",115.5 lbs,Strawweight,"September 16, 2023"
Nong Stamp,N/A,1997.09.27,11-2-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","63.0"" (160cm)",114.1 lbs,Strawweight,"September 29, 2023"
Carlos Hernandez,N/A,1993.10.25,9-3-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","67.0"" (170cm)",125.0 lbs,Flyweight,"December 09, 2023"
"田丸 辰, Tamaru Toki",N/A,2002.02.06,N/A,$0 USD,"5'4"" (163cm)",N/A,N/A,Flyweight,N/A
Marc Diakiese,Bonecrusher,1993.03.16,17-7-0 (Win-Loss-Draw),"$214,000 USD","5'10"" (178cm)","73.0"" (185cm)",155.0 lbs,Lightweight,"November 04, 2023"
"吉成名高, Yoshinari Nadaka",N/A,2001.01.08,N/A,$0 USD,"5'4"" (163cm)",N/A,N/A,Atomweight,N/A
Luana Carolina Carvalho de Souza,Dread,1993.06.11,10-4-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","69.0"" (175cm)",128.0 lbs,Flyweight,"February 03, 2024"
Davion Robby Franklin,All Day,1994.06.21,6-2-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","80.0"" (203cm)",265.0 lbs,Heavyweight,"October 07, 2023"
Natalia Yuryevna Kuziutina,Kuzya,1989.05.08,5-1-0 (Win-Loss-Draw),$0 USD,"5'3"" (160cm)","64.5"" (164cm)",115.4 lbs,Strawweight,"December 15, 2023"
Mitchell McKee,Merciless,1997.12.24,6-0-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","66.0"" (168cm)",135.8 lbs,Bantamweight,"April 26, 2024"
Johnathan Thomas Dodson III,The Magician,1984.09.26,24-14-0 (Win-Loss-Draw),"$642,000 USD","5'3"" (161cm)","66.0"" (168cm)",135.4 lbs,Flyweight,"December 31, 2023"
Kyle Driscoll,N/A,1994.09.23,14-4-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","72.0"" (183cm)",155.7 lbs,Lightweight,"June 02, 2023"
Lucero Acosta,La Loba,1994.08.23,5-2-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","69.0"" (175cm)",124.0 lbs,Flyweight,"December 17, 2023"
James Hendin,N/A,1997.11.12,9-2-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","71.0"" (180cm)",145.7 lbs,Featherweight,"April 20, 2024"
Renato Valente Alves,Índio,1992.08.02,10-6-0 (Win-Loss-Draw),"$2,400 USD","6'1"" (185cm)","73.5"" (187cm)",184.8 lbs,Middleweight,"August 18, 2023"
Jaclyn Cheree Cataline,The Hybrid,1988.05.27,4-3-0 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","65.5"" (166cm)",145.4 lbs,Featherweight,"October 07, 2023"
Sabina Mazo Isaza,Colombian Queen,1997.03.25,10-4-0 (Win-Loss-Draw),"$44,000 USD","5'7"" (170cm)","70.0"" (178cm)",125.0 lbs,Flyweight,"August 04, 2023"
Cody Stamann,The Spartan,1989.11.09,21-7-1 (Win-Loss-Draw),"$337,000 USD","5'6"" (168cm)","64.5"" (164cm)",135.8 lbs,Bantamweight,"June 08, 2024"
Diego Lopes,N/A,N/A,N/A,$0 USD,N/A,N/A,N/A,Featherweight,"June 10, 2017"
"최두호, Choi Doo Ho",The Korean Superboy,1991.04.06,14-4-1 (Win-Loss-Draw),"$274,000 USD","5'10"" (178cm)","70.0"" (178cm)",145.5 lbs,Featherweight,"February 04, 2023"
Jamey-Lyn Horth,N/A,1990.03.30,6-1-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","66.0"" (168cm)",125.5 lbs,Flyweight,"December 02, 2023"
Rosemary Brito Conceição,N/A,1997.05.13,7-0-0 (Win-Loss-Draw),$0 USD,"5'5"" (165cm)",N/A,114.8 lbs,Strawweight,"July 07, 2023"
Лоик Раджабов,The Tajik Tank,1990.09.17,18-5-1 (Win-Loss-Draw),"$100,000 USD","5'11"" (180cm)","69.0"" (175cm)",155.5 lbs,Lightweight,"March 02, 2024"
"정찬성, Jung Chan Sung",The Korean Zombie,1987.03.17,17-8-0 (Win-Loss-Draw),"$574,000 USD","5'7"" (171cm)","72.0"" (183cm)",146.0 lbs,Featherweight,"August 26, 2023"
Alfred Walker,Freight Train,1987.04.03,12-7-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","70.5"" (179cm)",145.0 lbs,Featherweight,"February 09, 2024"
"宋克南, Song Kenan",The Assassin,1990.03.10,21-8-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (182cm)","71.5"" (182cm)",170.5 lbs,Welterweight,"December 09, 2023"
Devin Smyth,The Prodigy,1995.07.21,"10-4-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'10"" (178cm)","73.0"" (185cm)",169.4 lbs,Welterweight,"February 23, 2024"
Evelyn Martins,Spartan,2002.09.07,5-1-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","67.5"" (171cm)",147.0 lbs,Featherweight,"June 16, 2023"
Neiman Gracie,N/A,1988.12.12,12-5-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","74.0"" (188cm)",170.2 lbs,Welterweight,"April 19, 2024"
Kamarudeen Usman,Nigerian Nightmare,1987.05.11,20-4-0 (Win-Loss-Draw),"$1,794,000 USD","6'0"" (183cm)","76.0"" (193cm)",184.5 lbs,Middleweight,"October 21, 2023"
Garry Lee Tonon,The Lion Killer,1991.09.12,9-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","69.0"" (175cm)",N/A,Lightweight,"January 28, 2024"
Берхамов Мухамед,Cherkes,1994.01.17,"16-2-0, 1 NC (Win-Loss-Draw)","$80,000 USD","6'0"" (183cm)","73.0"" (185cm)",178.4 lbs,Middleweight,"October 07, 2023"
အောင်လအန်ဆန်း,The Burmese Python,1985.05.21,"30-13-0, 1 NC (Win-Loss-Draw)",$0 USD,"6'1"" (186cm)",N/A,219.2 lbs,Light Heavyweight,"May 05, 2023"
Randi Field,Rose City Phoenix,1990.04.25,4-1-0 (Win-Loss-Draw),"$4,000 USD","5'3"" (160cm)","62.0"" (157cm)",120.0 lbs,Flyweight,"March 31, 2023"
Cody Law,N/A,1995.03.24,8-2-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","68.5"" (174cm)",145.4 lbs,Featherweight,"November 17, 2023"
Crystal Vanessa Demopoulos,Lil Monster,1988.09.22,11-5-0 (Win-Loss-Draw),"$74,000 USD","5'2"" (157cm)","59.5"" (151cm)",116.0 lbs,Strawweight,"May 18, 2024"
Marouan Ioannis Bachar,N/A,N/A,9-2-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","72.0"" (183cm)",169.4 lbs,Welterweight,"November 11, 2023"
Carlos Diego Ferreira,N/A,N/A,2-4-0 (Win-Loss-Draw),$0 USD,N/A,N/A,N/A,Lightweight,"October 16, 2010"
Norbert Novenyi Jr.,Magic,1999.10.06,7-0-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)",N/A,185.0 lbs,Middleweight,"June 16, 2023"
Bruna Emanuele Brasil,The Special One,1993.09.07,9-4-1 (Win-Loss-Draw),$0 USD,"5'6"" (168cm)","65.5"" (166cm)",115.5 lbs,Strawweight,"February 10, 2024"
Geraldo Coelho de Lima Neto,Luan Santana,1990.12.09,18-7-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","72.0"" (183cm)",169.6 lbs,Welterweight,"March 23, 2024"
Shajidul Haque,Superman,1990.10.29,16-5-0 (Win-Loss-Draw),$0 USD,"5'5"" (165cm)",N/A,124.4 lbs,Flyweight,"July 29, 2023"
Isaiah Hokit,The Central Valley Gangster,1996.05.07,3-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","69.0"" (175cm)",145.6 lbs,Featherweight,"February 04, 2023"
Valeriu Mircea,The Solitary Wolf,1993.10.05,30-9-1 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","72.4"" (184cm)",154.5 lbs,Lightweight,"April 06, 2024"
Waldo Cortes-Acosta,Salsa Boy,1991.10.03,12-1-0 (Win-Loss-Draw),$0 USD,"6'4"" (193cm)","78.0"" (198cm)",262.0 lbs,Heavyweight,"May 11, 2024"
Abdul Razak Alhassan,Judo Thunder,1985.08.11,12-6-0 (Win-Loss-Draw),"$240,000 USD","5'10"" (178cm)","73.0"" (185cm)",184.5 lbs,Middleweight,"October 07, 2023"
Диана Авсарагова,Pantera,1998.08.07,6-1-0 (Win-Loss-Draw),$0 USD,"5'7"" (169cm)","65.5"" (166cm)",127.2 lbs,Flyweight,"August 11, 2023"
Josuely Eduarda de Moura,Ronda,1994.02.28,10-1-0 (Win-Loss-Draw),$0 USD,"5'6"" (167cm)","66.0"" (168cm)",116.5 lbs,Strawweight,"June 08, 2024"
Robert Seronio III,The Humble Warrior,1998.05.21,4-0-0 (Win-Loss-Draw),"$7,000 USD","5'7"" (170cm)","70.0"" (178cm)",138.0 lbs,Bantamweight,"October 07, 2023"
Marcin Prachnio,N/A,1988.07.14,17-7-0 (Win-Loss-Draw),"$75,000 USD","6'3"" (191cm)","74.0"" (188cm)",204.5 lbs,Light Heavyweight,"February 10, 2024"
Eduardo Henrique da Silva,Chapolin,1995.11.23,12-2-0 (Win-Loss-Draw),$0 USD,N/A,N/A,124.0 lbs,Flyweight,"November 17, 2023"
Tyrell Fortune,N/A,1990.07.04,"13-2-0, 2 NC (Win-Loss-Draw)","$75,000 USD","6'2"" (188cm)","77.0"" (196cm)",259.6 lbs,Heavyweight,"April 21, 2023"
Trevin Dewayne Giles,The Problem,1992.08.06,16-6-0 (Win-Loss-Draw),"$147,000 USD","6'0"" (183cm)","74.0"" (188cm)",171.0 lbs,Welterweight,"February 10, 2024"
Andrzej Grzebyk,Double Champ,1990.11.25,21-6-0 (Win-Loss-Draw),$0 USD,"6'0"" (184cm)","76.0"" (193cm)",170.0 lbs,Welterweight,"December 16, 2023"
伊澤星花,N/A,1997.11.01,13-0-0 (Win-Loss-Draw),$0 USD,"5'2"" (157cm)","64.0"" (163cm)",107.0 lbs,Atomweight,"March 24, 2024"
Charlie Campbell,The Cannibal,1995.07.03,9-2-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (183cm)","72.5"" (184cm)",155.0 lbs,Lightweight,"April 06, 2024"
Kyle Crutchmer,N/A,1993.05.05,10-2-0 (Win-Loss-Draw),"$50,000 USD","5'9"" (175cm)","68.0"" (173cm)",171.0 lbs,Welterweight,"June 16, 2023"
Themba Takura Lawrence Gorimbo,The Answer,1991.01.23,13-4-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","77.0"" (196cm)",170.5 lbs,Welterweight,"May 18, 2024"
Luana Munize Barbosa Pinheiro,N/A,1993.11.18,11-3-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","62.0"" (157cm)",116.0 lbs,Strawweight,"May 18, 2024"
Matheus Mattos Mendes,Adamas,1992.06.06,14-2-1 (Win-Loss-Draw),"$10,000 USD","5'5"" (165cm)","67.0"" (170cm)",135.2 lbs,Bantamweight,"November 17, 2023"
Arkadiusz Wrzosek,Hightower,1992.06.03,5-0-0 (Win-Loss-Draw),$0 USD,"6'7"" (201cm)","82.7"" (210cm)",241.2 lbs,Heavyweight,"May 11, 2024"
Шараф Давлатмуродов,Wolfhound,1992.04.02,19-5-1 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","73.5"" (187cm)",185.4 lbs,Middleweight,"April 19, 2024"
Ante Delija,Walking Trouble,1990.08.07,24-6-0 (Win-Loss-Draw),"$66,000 USD","6'5"" (196cm)","79.0"" (201cm)",244.0 lbs,Heavyweight,"April 04, 2024"
Denise Kielholtz,Miss Dynamite,1989.03.30,8-5-0 (Win-Loss-Draw),$0 USD,"5'3"" (160cm)","66.0"" (168cm)",124.0 lbs,Flyweight,"November 17, 2023"
Lucas Alexander,The Lion,1995.07.28,8-4-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","73.0"" (185cm)",148.0 lbs,Featherweight,"November 18, 2023"
Blake Richard Bilder,El Animal,1990.07.12,8-2-1 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","68.5"" (174cm)",144.5 lbs,Featherweight,"February 03, 2024"
Esteban Ribovics Marijan,El Gringo,1996.04.27,13-1-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","69.0"" (175cm)",155.0 lbs,Lightweight,"May 11, 2024"
Jamie Patrick Mullarkey,N/A,1994.08.17,17-8-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","74.0"" (188cm)",155.0 lbs,Lightweight,"May 04, 2024"
Raul Gilberto Rosas Rios,El Niño Problema,2004.10.08,9-1-0 (Win-Loss-Draw),"$150,000 USD","5'9"" (175cm)","67.0"" (170cm)",136.0 lbs,Bantamweight,"June 08, 2024"
Claudio Da Silva Ribeiro,N/A,1992.07.17,11-5-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","77.0"" (196cm)",185.5 lbs,Middleweight,"March 02, 2024"
Tyson Pedro,N/A,1991.09.17,10-5-0 (Win-Loss-Draw),"$160,000 USD","6'3"" (191cm)","79.0"" (201cm)",205.5 lbs,Light Heavyweight,"March 02, 2024"
Melquizael Costa da Conceição,Melk Cauthy,1996.09.14,20-7-0 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","73.0"" (185cm)",155.5 lbs,Lightweight,"December 09, 2023"
Chris Gonzalez,CG,1991.07.29,8-3-0 (Win-Loss-Draw),"$10,000 USD","5'11"" (180cm)","73.0"" (185cm)",155.4 lbs,Lightweight,"May 12, 2023"
Jared Gooden,NiteTrain,1993.12.05,23-9-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (183cm)","77.0"" (196cm)",171.0 lbs,Welterweight,"December 02, 2023"
Danni McCormack,Mac,1990.03.15,8-2-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","61.5"" (156cm)",114.6 lbs,Strawweight,"October 27, 2023"
Joselyne Edwards Loboriel,La Pantera,1995.09.29,13-6-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","70.0"" (178cm)",136.0 lbs,Bantamweight,"June 01, 2024"
Daniel Frunza,Tigano,1994.04.13,8-2-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)",N/A,170.0 lbs,Welterweight,"October 27, 2023"
Jesus Santos Aguilar Rodriguez,N/A,1996.03.13,10-2-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","62.0"" (157cm)",126.0 lbs,Flyweight,"February 24, 2024"
Сергей Билостенный,N/A,1995.10.23,12-3-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","75.0"" (191cm)",248.4 lbs,Heavyweight,"April 04, 2024"
Tereza Bledá,N/A,2001.11.30,7-1-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","71.0"" (180cm)",125.0 lbs,Flyweight,"June 17, 2023"
Darren Stewart,The Dentist,1990.12.30,"16-10-0, 2 NC (Win-Loss-Draw)","$182,000 USD","6'0"" (183cm)","74.0"" (188cm)",194.5 lbs,Light Heavyweight,"March 30, 2024"
Jake Matthews,The Celtic Kid,1994.08.19,20-7-0 (Win-Loss-Draw),"$172,000 USD","5'11"" (180cm)","73.0"" (185cm)",170.0 lbs,Welterweight,"June 01, 2024"
"Jakub Kaszuba, The Boar",The Auditor,1995.06.02,12-0-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","73.0"" (185cm)",154.9 lbs,Lightweight,"March 07, 2024"
Joseph Solecki,N/A,1993.08.27,13-5-0 (Win-Loss-Draw),"$50,000 USD","5'9"" (175cm)","70.5"" (179cm)",155.0 lbs,Lightweight,"June 01, 2024"
Nathaniel Wood,The Prospect,1993.08.05,19-6-0 (Win-Loss-Draw),"$124,000 USD","5'6"" (168cm)","69.0"" (175cm)",146.0 lbs,Featherweight,"October 21, 2023"
Keri Anne Taylor-Melendez,N/A,1984.05.12,6-0-0 (Win-Loss-Draw),"$75,000 USD","5'6"" (168cm)","67.5"" (171cm)",126.6 lbs,Flyweight,"November 17, 2023"
Азамат Бекоев,King Pin,1995.12.30,17-3-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","72.0"" (183cm)",185.0 lbs,Middleweight,"December 15, 2023"
Roberto Hernandez,Green Light,1993.07.04,9-3-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)",N/A,135.5 lbs,Featherweight,"June 07, 2024"
"최승우, Choi Seung Woo",Sting,1992.11.03,11-6-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (183cm)","74.5"" (189cm)",146.0 lbs,Featherweight,"August 26, 2023"
Альберт Дураев,Machete,1989.01.05,16-5-0 (Win-Loss-Draw),"$5,000 USD","5'11"" (180cm)","75.0"" (191cm)",185.0 lbs,Middleweight,"July 15, 2023"
Alexander Munoz,N/A,1990.02.27,7-2-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","72.0"" (183cm)",155.5 lbs,Lightweight,"July 15, 2023"
Miles Johns,Chapo,1994.03.30,"14-2-0, 1 NC (Win-Loss-Draw)","$100,000 USD","5'7"" (170cm)","66.0"" (168cm)",136.0 lbs,Bantamweight,"March 23, 2024"
Karolline Rosa Cavedo,N/A,1994.12.30,17-6-0 (Win-Loss-Draw),"$78,000 USD","5'5"" (165cm)","67.5"" (171cm)",135.5 lbs,Bantamweight,"December 16, 2023"
Jefferson Nascimento,Todynho,N/A,11-0-0 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)",N/A,154.6 lbs,Lightweight,"November 03, 2023"
Ange Loosa,The Last Ninja,1994.03.18,"10-3-0, 1 NC (Win-Loss-Draw)","$24,000 USD","5'10"" (178cm)","74.0"" (188cm)",171.0 lbs,Welterweight,"March 16, 2024"
Ignacio A Bahamondes Carabantes,La Jaula,1997.08.27,15-5-0 (Win-Loss-Draw),"$100,000 USD","6'3"" (191cm)","75.5"" (192cm)",156.0 lbs,Lightweight,"April 06, 2024"
Trevor Peek,N/A,1995.01.09,"9-2-0, 1 NC (Win-Loss-Draw)","$50,000 USD","5'9"" (175cm)","70.0"" (178cm)",155.5 lbs,Lightweight,"April 06, 2024"
Jordan Leavitt,The Monkey King,1995.06.02,11-3-0 (Win-Loss-Draw),"$100,000 USD","5'9"" (175cm)","71.0"" (180cm)",155.5 lbs,Lightweight,"November 18, 2023"
Adam Fugitt,N/A,1989.01.12,9-4-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","77.0"" (196cm)",170.8 lbs,Welterweight,"June 10, 2023"
Ashton Fletcher,The Ghost,1997.02.18,10-4-0 (Win-Loss-Draw),"$10,000 USD","5'10"" (178cm)","67.0"" (170cm)",170.5 lbs,Welterweight,"May 25, 2024"
Elizeu Zaleski dos Santos,Capoeira,1986.11.12,24-8-1 (Win-Loss-Draw),"$194,000 USD","5'11"" (180cm)","73.0"" (185cm)",170.0 lbs,Welterweight,"June 01, 2024"
Jeka Asparido Saragih,Si Tendangan Maut,1995.01.01,14-3-0 (Win-Loss-Draw),"$50,000 USD","5'8"" (172cm)","69.0"" (175cm)",146.0 lbs,Featherweight,"November 18, 2023"
Kleidison De Sousa Rodrigues,KR,1995.10.22,8-4-0 (Win-Loss-Draw),$0 USD,"5'5"" (165cm)","67.0"" (170cm)",135.5 lbs,Bantamweight,"May 18, 2024"
Michał Materla,Cipao,1984.04.10,33-11-0 (Win-Loss-Draw),"$12,000 USD","6'0"" (183cm)","75.6"" (192cm)",185.6 lbs,Middleweight,"March 16, 2024"
Gabriel Miranda,Fly,1990.03.25,17-6-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","71.0"" (180cm)",145.0 lbs,Featherweight,"September 09, 2023"
Yanal Ashmouz,Red Fox,1995.03.31,7-1-0 (Win-Loss-Draw),$0 USD,"5'9"" (175cm)","68.0"" (173cm)",155.0 lbs,Lightweight,"July 22, 2023"
Mamed Khalidov,Cannibal,1980.07.17,37-8-2 (Win-Loss-Draw),"$7,000 USD","6'0"" (183cm)","76.4"" (194cm)",186.1 lbs,Middleweight,"June 03, 2023"
Yusuf Karakaya,Baracuda,N/A,2-0-0 (Win-Loss-Draw),$0 USD,"6'2"" (188cm)","71.0"" (180cm)",170.2 lbs,Welterweight,"February 04, 2023"
Rafael Ramos Estevam,Macapá,1996.08.10,12-0-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","69.0"" (175cm)",128.0 lbs,Flyweight,"November 18, 2023"
Dakota Lili-Joa Ditcheva,Dangerous,1998.07.11,11-0-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","70.0"" (178cm)",125.2 lbs,Flyweight,"April 04, 2024"
Talita Bernardo,N/A,1987.03.04,10-4-0 (Win-Loss-Draw),$0 USD,"5'4"" (163cm)","68.0"" (173cm)",135.0 lbs,Bantamweight,"January 18, 2023"
