name,nickname,born,record,earnings_$,height_cm,reach_cm,weight_kg,weight_class,last_fight
Giga Chikadze,Ninja,1988.08.25,15-3-0 (Win-Loss-Draw),"$253,200 USD","6'0"" (183cm)","74.0"" (188cm)",146.0 lbs,Featherweight,"August 26, 2023"
Karolina Kowalkiewicz,N/A,1985.10.15,16-8-0 (Win-Loss-Draw),"$117,000 USD","5'3"" (160cm)","64.0"" (163cm)",116.0 lbs,Strawweight,"May 04, 2024"
Deiveson Alcantara,Deus da Guerra,1987.12.18,23-3-1 (Win-Loss-Draw),"$505,000 USD","5'5"" (165cm)","68.0"" (173cm)",135.5 lbs,Bantamweight,"April 13, 2024"
Tabatha Ricci Fabri Salto,Baby Shark,1995.02.21,10-2-0 (Win-Loss-Draw),$0 USD,"5'1"" (155cm)","61.0"" (155cm)",115.0 lbs,Strawweight,"May 11, 2024"
Marvin Vettori,The Italian Dream,1993.09.20,19-6-1 (Win-Loss-Draw),"$393,000 USD","6'0"" (183cm)","74.0"" (188cm)",185.5 lbs,Middleweight,"June 17, 2023"
Kevin Luke Swanson,Killer,1983.11.02,29-13-0 (Win-Loss-Draw),"$900,440 USD","5'8"" (173cm)","70.0"" (178cm)",146.0 lbs,Featherweight,"August 12, 2023"
Karine Silva de Almeida,Killer,1993.12.02,18-4-0 (Win-Loss-Draw),"$50,000 USD","5'5"" (165cm)","67.0"" (170cm)",125.5 lbs,Flyweight,"April 27, 2024"
"박준용, Park Jun Yong",The Iron Turtle,1991.02.27,17-6-0 (Win-Loss-Draw),"$50,000 USD","5'10"" (178cm)","73.0"" (185cm)",185.5 lbs,Middleweight,"December 09, 2023"
Farid Basharat,Ferocious,1997.08.02,12-0-0 (Win-Loss-Draw),$0 USD,"5'8"" (173cm)","71.0"" (180cm)",136.0 lbs,Bantamweight,"January 13, 2024"
Karl Williams,N/A,1990.01.06,10-1-0 (Win-Loss-Draw),$0 USD,"6'3"" (191cm)","79.0"" (201cm)",246.5 lbs,Heavyweight,"March 23, 2024"
Ринат Фахретдинов,Gladiator,1991.09.28,22-2-1 (Win-Loss-Draw),$0 USD,"6'0"" (183cm)","74.0"" (188cm)",170.5 lbs,Welterweight,"November 04, 2023"
Ismael Bonfim,Marreta,1995.12.28,20-4-0 (Win-Loss-Draw),"$50,000 USD","5'8"" (173cm)","71.0"" (180cm)",156.0 lbs,Lightweight,"May 04, 2024"
Marcus Julius McGhee,The Maniac,1990.05.07,9-1-0 (Win-Loss-Draw),"$150,000 USD","5'8"" (173cm)","69.0"" (175cm)",135.5 lbs,Bantamweight,"January 13, 2024"
Мыктыбек Оролбай уулу,N/A,1998.02.10,13-1-1 (Win-Loss-Draw),$0 USD,"5'10"" (178cm)","74.0"" (188cm)",155.5 lbs,Lightweight,"May 04, 2024"
Ľudovít Klein,Mr. Highlight,1995.02.22,22-4-1 (Win-Loss-Draw),$0 USD,"5'7"" (170cm)","72.5"" (184cm)",156.0 lbs,Lightweight,"June 08, 2024"
Yair Rodriguez Portillo,El Pantera,1992.10.06,"18-5-0, 1 NC (Win-Loss-Draw)","$592,000 USD","5'11"" (180cm)","71.0"" (180cm)",146.0 lbs,Featherweight,"February 24, 2024"
Alonzo Theodoro Menifield,Atomic,1987.10.18,15-4-1 (Win-Loss-Draw),"$84,000 USD","6'0"" (183cm)","76.0"" (193cm)",205.5 lbs,Light Heavyweight,"May 11, 2024"
Patrick Mix,No Love,1993.08.16,20-1-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","71.5"" (182cm)",135.0 lbs,Bantamweight,"May 17, 2024"
Nikita Andreyvich Krylov,The Miner,1992.07.03,30-9-0 (Win-Loss-Draw),"$266,000 USD","6'3"" (191cm)","77.5"" (197cm)",213.0 lbs,Light Heavyweight,"March 11, 2023"
Vitor Petrino Malaquias Salvo,Icão,1997.08.28,11-1-0 (Win-Loss-Draw),"$100,000 USD","6'2"" (188cm)","77.5"" (197cm)",206.0 lbs,Light Heavyweight,"May 04, 2024"
Caio Borralho,The Natural,1993.01.16,"16-1-0, 1 NC (Win-Loss-Draw)","$100,000 USD","6'1"" (185cm)","75.0"" (191cm)",186.0 lbs,Middleweight,"May 04, 2024"
Bo Dean Nickal,N/A,1996.01.14,6-0-0 (Win-Loss-Draw),"$50,000 USD","6'1"" (185cm)","76.0"" (193cm)",186.0 lbs,Middleweight,"April 13, 2024"
Joseph Oliver Pyfer,Bodybagz,1996.09.17,12-3-0 (Win-Loss-Draw),"$100,000 USD","6'2"" (188cm)","75.0"" (191cm)",185.5 lbs,Middleweight,"February 10, 2024"
Jared Christopher Cannonier,Killa Gorilla,1984.03.16,17-7-0 (Win-Loss-Draw),"$432,000 USD","5'11"" (180cm)","77.5"" (197cm)",185.0 lbs,Middleweight,"June 08, 2024"
"平良達郎, Taira Tatsuro",N/A,2000.01.27,15-0-0 (Win-Loss-Draw),"$100,000 USD","5'7"" (170cm)","70.0"" (178cm)",125.5 lbs,Flyweight,"December 09, 2023"
Johnny Eblen,Pressure,1991.12.13,15-0-0 (Win-Loss-Draw),$0 USD,"6'1"" (185cm)","74.0"" (188cm)",185.5 lbs,Middleweight,"February 24, 2024"
Marc-André Barriault,Powerbar,1990.02.18,"16-7-0, 1 NC (Win-Loss-Draw)","$78,000 USD","6'1"" (185cm)","74.0"" (188cm)",184.5 lbs,Middleweight,"January 20, 2024"
Mayra Bueno Silva,Sheetara,1991.08.22,"10-3-1, 1 NC (Win-Loss-Draw)","$150,000 USD","5'6"" (168cm)","66.5"" (169cm)",135.0 lbs,Bantamweight,"January 20, 2024"
Joaquin Buckley,New Mansa,1994.04.27,19-6-0 (Win-Loss-Draw),"$200,000 USD","5'10"" (178cm)","76.0"" (193cm)",170.0 lbs,Welterweight,"May 11, 2024"
Bobby Ryan Green,King,1986.09.09,"32-15-1, 1 NC (Win-Loss-Draw)","$689,000 USD","5'10"" (178cm)","71.0"" (180cm)",156.0 lbs,Lightweight,"April 13, 2024"
Michael Morales Hurtado,N/A,1999.06.24,16-0-0 (Win-Loss-Draw),"$20,000 USD","6'0"" (183cm)","79.0"" (201cm)",171.0 lbs,Welterweight,"November 18, 2023"
Алискеров Икрам,N/A,1992.12.07,15-1-0 (Win-Loss-Draw),"$50,000 USD","6'0"" (183cm)","76.0"" (193cm)",186.0 lbs,Middleweight,"October 21, 2023"
Jose Mariscal,Machine Gun,1992.10.27,"16-6-0, 1 NC (Win-Loss-Draw)","$50,000 USD","5'7"" (170cm)","69.0"" (175cm)",145.5 lbs,Featherweight,"April 06, 2024"
Kevin Holland,Trailblazer,1992.11.05,"26-11-0, 1 NC (Win-Loss-Draw)","$475,000 USD","6'3"" (191cm)","81.0"" (206cm)",185.0 lbs,Middleweight,"June 01, 2024"
Justin Tafa,Bad Man,1993.12.13,"7-4-0, 1 NC (Win-Loss-Draw)","$100,000 USD","6'0"" (183cm)","74.0"" (188cm)",264.5 lbs,Heavyweight,"March 23, 2024"
Ярослав Амосов,Dynamo,1993.09.09,27-1-0 (Win-Loss-Draw),$0 USD,"5'11"" (180cm)","75.0"" (191cm)",169.6 lbs,Welterweight,"November 17, 2023"
Usman Nurmagomedov,N/A,1998.04.17,"17-0-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'11"" (180cm)","72.0"" (183cm)",154.8 lbs,Lightweight,"October 07, 2023"
Сергей Павлович,N/A,1992.05.13,18-2-0 (Win-Loss-Draw),"$200,000 USD","6'3"" (191cm)","84.0"" (213cm)",259.8 lbs,Heavyweight,"November 11, 2023"
Nazim Sadykhov,Black Wolf,1994.05.16,9-1-1 (Win-Loss-Draw),"$100,000 USD","5'10"" (178cm)","69.0"" (175cm)",155.6 lbs,Lightweight,"November 11, 2023"
Sergio Pettis,The Phenom,1993.08.18,23-7-0 (Win-Loss-Draw),"$412,000 USD","5'6"" (168cm)","69.0"" (175cm)",135.0 lbs,Bantamweight,"June 09, 2024"
Vicente Luque,The Silent Assassin,1991.11.27,22-10-1 (Win-Loss-Draw),"$706,000 USD","5'11"" (180cm)","76.0"" (193cm)",170.0 lbs,Welterweight,"March 30, 2024"
Aljamain Sterling,Funk Master,1989.07.31,24-4-0 (Win-Loss-Draw),"$518,000 USD","5'7"" (171cm)","71.0"" (180cm)",146.0 lbs,Featherweight,"April 13, 2024"
Luis Philipe Lins,Monstro,1985.08.17,18-5-0 (Win-Loss-Draw),"$1,160,000 USD","6'2"" (188cm)","78.0"" (198cm)",206.0 lbs,Light Heavyweight,"March 09, 2024"
Daniel Aaron Marcos Moreno,Soncora,1993.03.07,"16-0-0, 1 NC (Win-Loss-Draw)",$0 USD,"5'7"" (170cm)","69.0"" (175cm)",135.3 lbs,Bantamweight,"June 08, 2024"
Liz Carmouche,Girl-Rilla,1984.02.19,21-7-0 (Win-Loss-Draw),"$126,500 USD","5'6"" (168cm)","66.0"" (168cm)",126.0 lbs,Flyweight,"April 04, 2024"
Norma Dumont Viana Ferreira,The Immortal,1990.10.01,11-2-0 (Win-Loss-Draw),"$10,000 USD","5'7"" (169cm)","67.0"" (170cm)",136.0 lbs,Bantamweight,"April 06, 2024"
"闫晓楠, Yan Xiaonan",Nine,1989.06.16,"17-4-0, 1 NC (Win-Loss-Draw)","$50,000 USD","5'5"" (166cm)","63.0"" (160cm)",115.0 lbs,Strawweight,"April 13, 2024"
Carlston Lindsay Harris,Moçambique,1987.07.09,19-6-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","76.0"" (193cm)",169.5 lbs,Welterweight,"May 18, 2024"
William Algeo,Señor Perfecto,1989.06.09,18-8-0 (Win-Loss-Draw),"$150,000 USD","6'0"" (183cm)","73.0"" (185cm)",146.0 lbs,Featherweight,"March 30, 2024"
Dan Hooker,The Hangman,1990.02.13,23-12-0 (Win-Loss-Draw),"$543,000 USD","6'0"" (183cm)","75.5"" (192cm)",155.5 lbs,Lightweight,"July 08, 2023"
Lerone Murphy,The Miracle,1991.07.22,14-0-1 (Win-Loss-Draw),"$100,000 USD","5'9"" (175cm)","73.5"" (187cm)",146.0 lbs,Featherweight,"May 18, 2024"
Amir Albazi,The Prince,1993.10.27,17-1-0 (Win-Loss-Draw),"$32,000 USD","5'5"" (165cm)","68.0"" (173cm)",126.0 lbs,Flyweight,"June 03, 2023"
Manon Fiorot,The Beast,1990.02.17,12-1-0 (Win-Loss-Draw),"$80,000 USD","5'7"" (169cm)","66.0"" (168cm)",125.3 lbs,Flyweight,"March 30, 2024"
Joanderson Sá Brito,Tubarão,1995.02.11,17-3-1 (Win-Loss-Draw),"$100,000 USD","5'8"" (173cm)","72.0"" (183cm)",146.0 lbs,Featherweight,"May 04, 2024"
Muhammad Mokaev,The Punisher,2000.07.30,"11-0-0, 1 NC (Win-Loss-Draw)","$100,000 USD","5'7"" (170cm)","70.0"" (178cm)",126.0 lbs,Flyweight,"March 02, 2024"
Christian Rodriguez,CeeRod,1997.12.17,11-1-0 (Win-Loss-Draw),"$50,000 USD","5'7"" (170cm)","71.0"" (180cm)",145.0 lbs,Featherweight,"March 16, 2024"
Charles Jourdain,Air,1995.11.27,15-7-1 (Win-Loss-Draw),"$116,000 USD","5'9"" (175cm)","69.0"" (175cm)",145.5 lbs,Featherweight,"January 20, 2024"
Anthony Hernandez,Fluffy,1993.10.18,"12-2-0, 1 NC (Win-Loss-Draw)","$112,000 USD","6'0"" (183cm)","75.0"" (191cm)",185.5 lbs,Middleweight,"February 17, 2024"
Nasrat Mohammad Haqparast,N/A,1995.08.22,16-5-0 (Win-Loss-Draw),"$175,000 USD","5'10"" (178cm)","72.0"" (183cm)",156.0 lbs,Lightweight,"December 09, 2023"
Steve Garcia Jr.,Mean Machine,1992.05.22,15-5-0 (Win-Loss-Draw),"$62,000 USD","6'0"" (183cm)","73.0"" (185cm)",155.0 lbs,Lightweight,"December 09, 2023"
Ryan D. Bader,Darth,1983.06.07,"31-8-0, 1 NC (Win-Loss-Draw)","$634,000 USD","6'2"" (188cm)","74.0"" (188cm)",231.1 lbs,Heavyweight,"February 24, 2024"
Азамат Мурзаканов,The Professional,1989.04.12,13-0-0 (Win-Loss-Draw),"$74,000 USD","5'10"" (179cm)","71.5"" (182cm)",205.0 lbs,Light Heavyweight,"April 15, 2023"
Нурмагомедов Омар,N/A,1996.01.03,17-0-0 (Win-Loss-Draw),"$100,000 USD","5'8"" (172cm)","69.0"" (175cm)",136.0 lbs,Bantamweight,"March 02, 2024"
Сергій Співак,Polar Bear,1995.01.24,16-4-0 (Win-Loss-Draw),"$64,000 USD","6'3"" (190cm)","78.0"" (198cm)",256.0 lbs,Heavyweight,"September 02, 2023"
Gabriel de Souza Bonfim,Marretinha,1997.08.20,15-1-0 (Win-Loss-Draw),"$50,000 USD","6'1"" (185cm)","72.5"" (184cm)",170.5 lbs,Welterweight,"November 04, 2023"
Sean Strickland,Tarzan,1991.02.27,29-6-0 (Win-Loss-Draw),"$344,000 USD","6'1"" (185cm)","76.0"" (193cm)",185.0 lbs,Middleweight,"June 01, 2024"
Ислам Махачев,N/A,1991.10.27,26-1-0 (Win-Loss-Draw),"$352,000 USD","5'10"" (178cm)","70.5"" (179cm)",155.0 lbs,Lightweight,"June 01, 2024"
Leon Edwards,Rocky,1991.08.25,"22-3-0, 1 NC (Win-Loss-Draw)","$465,000 USD","6'2"" (188cm)","74.0"" (188cm)",170.0 lbs,Welterweight,"December 16, 2023"
Thomas Aspinall,N/A,1993.04.11,14-3-0 (Win-Loss-Draw),"$300,000 USD","6'5"" (196cm)","78.0"" (198cm)",261.6 lbs,Heavyweight,"November 11, 2023"
Karen Alexa Grasso Montes,N/A,1993.08.09,16-3-1 (Win-Loss-Draw),"$191,000 USD","5'5"" (165cm)","66.0"" (168cm)",124.5 lbs,Flyweight,"September 16, 2023"
Alexandre Pantoja Passidomo,The Cannibal,1990.04.16,28-5-0 (Win-Loss-Draw),"$300,000 USD","5'5"" (166cm)","68.0"" (173cm)",125.0 lbs,Flyweight,"May 04, 2024"
Dricus Du Plessis,Stillknocks,1994.01.14,21-2-0 (Win-Loss-Draw),"$227,000 USD","6'1"" (185cm)","76.0"" (193cm)",184.0 lbs,Middleweight,"January 20, 2024"
Jonathan Dwight Jones,Bones,1987.07.19,"27-1-0, 1 NC (Win-Loss-Draw)","$4,568,000 USD","6'4"" (194cm)","84.5"" (215cm)",248.0 lbs,Heavyweight,"March 04, 2023"
Justin Gaethje,The Highlight,1988.11.14,25-5-0 (Win-Loss-Draw),"$1,662,000 USD","5'11"" (181cm)","70.0"" (178cm)",156.0 lbs,Lightweight,"April 13, 2024"
Alex Sandro Silva Pereira,Poatan,1987.07.07,10-2-0 (Win-Loss-Draw),"$200,000 USD","6'4"" (194cm)","80.0"" (203cm)",205.0 lbs,Light Heavyweight,"April 13, 2024"
Sean O'Malley,Suga,1994.10.24,"18-1-0, 1 NC (Win-Loss-Draw)","$699,000 USD","5'11"" (180cm)","72.0"" (183cm)",135.0 lbs,Bantamweight,"March 09, 2024"
Jailton Almeida,Malhadinho,1991.06.26,21-3-0 (Win-Loss-Draw),"$150,000 USD","6'3"" (191cm)","79.0"" (201cm)",241.0 lbs,Heavyweight,"June 01, 2024"
Шавкат Рахмонов,Nomad,1994.10.23,18-0-0 (Win-Loss-Draw),"$150,000 USD","6'1"" (185cm)","77.0"" (196cm)",171.0 lbs,Welterweight,"December 16, 2023"
Saint Denis,God of War,1995.12.18,"13-2-0, 1 NC (Win-Loss-Draw)","$200,000 USD","5'11"" (180cm)","73.0"" (185cm)",155.0 lbs,Lightweight,"March 09, 2024"
Jamahal Hill,Sweet Dreams,1991.05.19,"12-2-0, 1 NC (Win-Loss-Draw)","$224,000 USD","6'4"" (193cm)","79.0"" (201cm)",205.0 lbs,Light Heavyweight,"April 13, 2024"
Brendan Cody Allen,All In,1995.12.28,24-5-0 (Win-Loss-Draw),"$202,000 USD","6'2"" (188cm)","75.0"" (191cm)",186.0 lbs,Middleweight,"April 06, 2024"
Ian Machado Garry,The Future,1997.11.17,14-0-0 (Win-Loss-Draw),"$50,000 USD","6'3"" (191cm)","74.0"" (188cm)",170.5 lbs,Welterweight,"February 17, 2024"
Erin Blanchfield,Cold Blooded,1999.05.04,12-2-0 (Win-Loss-Draw),"$50,000 USD","5'4"" (163cm)","68.0"" (173cm)",125.0 lbs,Flyweight,"March 30, 2024"
Jerome-Max Kelii Holloway,Blessed,1991.12.04,26-7-0 (Win-Loss-Draw),"$2,200,000 USD","5'11"" (180cm)","69.0"" (175cm)",156.0 lbs,Lightweight,"April 13, 2024"
Cory Sandhagen,Sandman,1992.04.20,17-4-0 (Win-Loss-Draw),"$500,000 USD","5'11"" (180cm)","70.0"" (178cm)",139.5 lbs,Bantamweight,"August 05, 2023"
Giacomo Della Maddalena,N/A,1996.09.10,17-2-0 (Win-Loss-Draw),"$270,000 USD","5'11"" (180cm)","73.0"" (185cm)",170.0 lbs,Welterweight,"March 09, 2024"
Merab Dvalishvili,The Machine,1991.01.10,17-4-0 (Win-Loss-Draw),"$354,000 USD","5'6"" (168cm)","68.0"" (173cm)",135.0 lbs,Bantamweight,"February 17, 2024"
Tatiana Yadira Suarez Padilla,N/A,1990.12.19,10-0-0 (Win-Loss-Draw),"$230,000 USD","5'5"" (165cm)","66.0"" (168cm)",115.5 lbs,Strawweight,"August 05, 2023"
Mateusz Gamrot,Gamer,1990.12.11,"24-2-0, 1 NC (Win-Loss-Draw)","$202,000 USD","5'10"" (177cm)","70.5"" (179cm)",156.0 lbs,Lightweight,"March 09, 2024"
Walker Johnny Silva Barra de Souza,N/A,1992.03.30,"21-8-0, 1 NC (Win-Loss-Draw)","$290,000 USD","6'6"" (198cm)","82.3"" (209cm)",205.5 lbs,Light Heavyweight,"January 13, 2024"
Alexander Volkanovski,The Great,1988.09.29,26-4-0 (Win-Loss-Draw),"$575,000 USD","5'6"" (168cm)","71.5"" (182cm)",144.5 lbs,Featherweight,"February 17, 2024"
Ilia Topuria,El Matador,1997.01.21,15-0-0 (Win-Loss-Draw),"$200,000 USD","5'7"" (170cm)","69.0"" (175cm)",144.5 lbs,Featherweight,"February 17, 2024"
"宋亚东, Song Yadong",Kung Fu Kid,1997.12.02,"21-8-1, 1 NC (Win-Loss-Draw)","$486,000 USD","5'8"" (173cm)","67.0"" (170cm)",136.0 lbs,Bantamweight,"March 09, 2024"
Charles Oliveira,do Bronx,1989.10.17,"34-10-0, 1 NC (Win-Loss-Draw)","$1,347,600 USD","5'10"" (178cm)","74.0"" (188cm)",156.0 lbs,Lightweight,"April 13, 2024"
Александр Волков,Drago,1988.10.24,37-10-0 (Win-Loss-Draw),"$315,000 USD","6'7"" (201cm)","80.0"" (203cm)",263.0 lbs,Heavyweight,"September 09, 2023"
Amanda Nunes,The Lioness,1988.05.30,23-5-0 (Win-Loss-Draw),"$2,428,500 USD","5'8"" (173cm)","69.0"" (175cm)",135.0 lbs,Bantamweight,"June 10, 2023"
Maria Lupita Godinez,Loopy,1993.09.06,12-4-0 (Win-Loss-Draw),"$95,000 USD","5'2"" (157cm)","61.0"" (155cm)",115.0 lbs,Strawweight,"March 30, 2024"
Nicolas Dalby,Danish Dynamite,1984.11.16,"23-4-1, 2 NC (Win-Loss-Draw)","$100,000 USD","5'11"" (180cm)","74.5"" (189cm)",170.5 lbs,Welterweight,"November 04, 2023"
Edson Mendes Barboza,Junior,1986.01.21,24-12-0 (Win-Loss-Draw),"$1,306,000 USD","5'11"" (181cm)","75.0"" (191cm)",145.5 lbs,Featherweight,"May 18, 2024"
Brandon Moreno,The Assassin Baby,1993.12.07,21-8-2 (Win-Loss-Draw),"$656,000 USD","5'7"" (170cm)","70.0"" (178cm)",126.0 lbs,Flyweight,"February 24, 2024"
Maycee Barber,The Future,1998.05.18,14-2-0 (Win-Loss-Draw),"$79,000 USD","5'5"" (165cm)","65.0"" (165cm)",125.0 lbs,Flyweight,"March 09, 2024"
Belal Muhammad,Remember the Name,1988.07.09,"23-3-0, 1 NC (Win-Loss-Draw)","$372,000 USD","5'11"" (180cm)","72.0"" (183cm)",170.0 lbs,Welterweight,"May 06, 2023"
Khalil Ibn Rountree Jr.,The War Horse,1990.02.06,"13-5-0, 1 NC (Win-Loss-Draw)","$342,000 USD","6'1"" (185cm)","76.5"" (194cm)",204.0 lbs,Light Heavyweight,"December 09, 2023"
Роман Копылов,N/A,1991.05.04,13-3-0 (Win-Loss-Draw),"$100,000 USD","6'0"" (183cm)","75.0"" (191cm)",185.0 lbs,Middleweight,"June 01, 2024"
Jonathan Martinez,Dragon,1994.04.20,19-5-0 (Win-Loss-Draw),"$178,000 USD","5'8"" (173cm)","69.5"" (177cm)",136.0 lbs,Bantamweight,"May 04, 2024"
Арман Царукян,Ahalkalakets,1996.10.11,22-3-0 (Win-Loss-Draw),"$250,000 USD","5'7"" (170cm)","72.5"" (184cm)",156.0 lbs,Lightweight,"April 13, 2024"
Elves Brenner Oliveira,N/A,1997.09.27,16-4-0 (Win-Loss-Draw),"$100,000 USD","5'10"" (178cm)","72.0"" (183cm)",156.0 lbs,Lightweight,"May 04, 2024"
"张伟丽, Zhang Weli",Magnum,1989.08.13,25-3-0 (Win-Loss-Draw),"$514,000 USD","5'4"" (163cm)","63.0"" (160cm)",115.0 lbs,Strawweight,"April 13, 2024"
Gilbert Burns,Durinho,1986.07.20,22-7-0 (Win-Loss-Draw),"$643,000 USD","5'10"" (178cm)","71.0"" (180cm)",171.0 lbs,Welterweight,"March 09, 2024"
Khamzat Girikhanov,Borz,1994.05.01,13-0-0 (Win-Loss-Draw),"$250,000 USD","6'2"" (188cm)","75.0"" (191cm)",185.5 lbs,Middleweight,"October 21, 2023"
Michael Malott,Proper,1991.11.07,10-2-1 (Win-Loss-Draw),"$100,000 USD","6'1"" (185cm)","73.0"" (185cm)",170.5 lbs,Welterweight,"January 20, 2024"
Israel Mobolaji Odunayo Adesanya,The Last Stylebender,1989.07.22,24-3-0 (Win-Loss-Draw),"$1,468,000 USD","6'4"" (193cm)","80.0"" (203cm)",184.8 lbs,Middleweight,"September 09, 2023"
Mateusz Tadeusz Rebecki,Rebeasti,1992.10.03,19-2-0 (Win-Loss-Draw),$0 USD,"5'7"" (169cm)","66.0"" (168cm)",155.3 lbs,Lightweight,"May 11, 2024"
Ariane Lipski,Queen of Violence,1994.01.26,17-9-0 (Win-Loss-Draw),"$142,000 USD","5'6"" (168cm)","67.0"" (170cm)",126.0 lbs,Flyweight,"April 27, 2024"
Carlos Sao Murry Ulberg,Black Jag,1990.11.17,10-1-0 (Win-Loss-Draw),"$150,000 USD","6'4"" (193cm)","77.0"" (196cm)",205.0 lbs,Light Heavyweight,"May 11, 2024"
